Name	Set	ImageFile	Type	R	G	B	Y	Rarity	Number	Text
Just a Week Away!	Alpha	alpha_nandeck_45,blueback	Blue	B	B	B	_	3	APH073	B: Do not return this to your deck, place counters on this to keep track of the date. Tomorrow is December 1st. When it's Christmas, you win the game.
lost marbles	Alpha	alpha_nandeck_46,blueback	Blue	A	_	B	_	3	APH074	A: (RRRBB) Deal 7 damage. Opponent loses all of their marbles.
banhammer	Alpha	alpha_nandeck_47,blueback	Blue	_	_	C	B	3	APH075	C: Deal 1 damage. Opponent loses all of their mana.
Balkan Racism	Alpha	alpha_nandeck_48,yellowback	Yellow	_	_	B	A	0	APH076	A: Deal 4 damage. Racism White.
Yung Twink	Alpha	alpha_nandeck_49,yellowback	Yellow	B	_	_	A	0	APH077	A: Deal 3 damage, guts.
Mind Rot	Alpha	alpha_nandeck_50,yellowback	Yellow	_	_	B	B	0	APH078	B: Deal 3 damage, Opponent loses all mana of their most abundant colour.
i like momoland	Alpha	alpha_nandeck_51,yellowback	Yellow	_	_	B	A	0	APH085	A: (RBY) Deal 1 damage for each of your opponent's R, B, Y.
I LOVE MOMOLAND	Alpha	alpha_nandeck_52,yellowback	Yellow	_	_	_	A	1	APH086	A: (RGBY) Deal 2 damage for each of your opponent's R, G, B, Y.
Cracker	Alpha	alpha_nandeck_53,yellowback	Yellow	B	B	B	B	1	APH087	B: Deal 4 damage if opponent's card is White.
Dehydrated	Alpha	alpha_nandeck_54,yellowback	Yellow	_	_	B	A	1	APH088	A: (YY) Deal 3 damage for each of your opponent's B.
MOMOLAND Comeback	Alpha	alpha_nandeck_55,yellowback	Yellow	_	_	_	B	1	APH090	B: Restore 10 HP.
no u	Alpha	alpha_nandeck_56,yellowback	Yellow	B	_	B	B	2	APH091	B: (YY) Your opponent resolves their card, targeting themselves.
League of Legends	Alpha	alpha_nandeck_57,yellowback	Yellow	B	_	B	B	2	APH092	B: (RGBYY) Your opponent resolves their card, targeting themselves. Then they do it again.
Lying Can (Not) Exist	Alpha	alpha_nandeck_58,yellowback	Yellow	_	_	B	A	2	APH093	A: (BY) Your opponent reveals the cards currently in their hand.
Light Theme	Alpha	alpha_nandeck_59,yellowback	Yellow	_	_	_	A	3	APH096	A: Deal 2 damage for each of your Y.
yellow22	Alpha	alpha_nandeck_60,yellowback	Yellow	B	_	B	B	3	APH097	B: Deal 1 damage. All your mana becomes Y.
Personality Quiz	Alpha	alpha_nandeck_61,yellowback	Yellow	_	A	_	B	3	APH099	A: (GGYY) Deal 2 damage for each mana of the most abundant colour that your opponent has.
Delay Tech	Alpha	alpha_nandeck_62,yellowback	Yellow	_	B	_	C	3	APH100	C: Deal 6 damage. Protect.
Argument Colour	Alpha	alpha_nandeck_63,ArgumentColour.png	#FAED27	_	A	_	A	1	APH101	A: (GY) Deal 3 damage. You gain 1 G and 1 Y.
Drevenwall	Alpha	alpha_nandeck_64,whiteback	White	_	B	A	_	0	APH102	A: Roll a d6 and deal damage equal to the result of the roll.
Gurandomasutauibu	Alpha	alpha_nandeck_65,whiteback	White	_	A	_	_	0	APH103	A: This doesn't do anything, baka gaijin. Kono tekisuto o koenidashite yomu koto ga dekiru baai ni nomi, 5 dameji o ataemasu.
Fit Pic Friday	Alpha	alpha_nandeck_66,whiteback	White	A	_	_	_	0	APH104	A: Choose two: Deal 3 damage. Deal 1 damage for each Shield on opponent's card. Burn opponent. Freeze everyone.
Overwatch Grand Wizard	Alpha	alpha_nandeck_67,whiteback	White	_	C	_	_	0	APH105	C: Deal 3 damage. Opponent loses all mana of their most abundant colour.
Overwatch Grand Wizard 2	Alpha	alpha_nandeck_68,whiteback	White	_	A	_	_	0	APH105-2	C: Deal 3 damage. Opponent loses all mana of their most abundant colour.
Sultan Baby	Alpha	alpha_nandeck_69,whiteback	White	A	_	_	B	1	APH106	A: (RYY) Deal 3 damage for each of your opponent's R. You receive 2 damage for each of your B.
Cowboy Baby	Alpha	alpha_nandeck_70,whiteback	White	_	B	A	_	1	APH107	A: (BYY) Deal 3 damage for each of your opponent's B. You receive 2 damage for each of your G.
Guys Turn 10	Alpha	alpha_nandeck_71,whiteback	White	B	_	A	_	1	APH111	A: If your HP is 10 or less, deal 7 damage.
Coomer Club	Alpha	alpha_nandeck_72,whiteback	White	_	C	_	B	2	APH112	C: Deal damage equal to how many consecutive White cards are on the top of your deck.
New Years Minesweeper	Alpha	alpha_nandeck_73,whiteback	White	_	_	A	B	2	APH115	A: Guess what the top card of your opponent's deck is. If you guess correctly, deal 7 damage.
white15	Alpha	alpha_nandeck_74,whiteback	White	A	_	_	_	2	APH116	A: Deal 5 damage. Flip a coin.
Moon Ping	Alpha	alpha_nandeck_75,whiteback	White	_	_	C	_	3	APH117	C: Deal 2 damage for each of your R, G, B, Y. Slow opponent.
FUCK IT WE BALL	Alpha	alpha_nandeck_76,whiteback	White	A	A	A	A	3	APH118	A: IF YOUR HP IS 1 OR LESS, DEAL 999999 DAMAGE.
Gurren Lagann	Alpha	alpha_nandeck_77,whiteback	White	C	C	C	C	3	APH119	C: Deal 3 damage for each Shield on opponent's card.
Balkan Nationalism	Alpha	alpha_nandeck_78,whiteback	White	_	_	_	A	3	APH120	A: (RGBYY) Deal 2 damage for each of your mana.
Guys Turn 20	Alpha	alpha_nandeck_79,whiteback	White	_	A	_	B	3	APH121	A: (RGG) Deal damage equal to 1/2 of your current HP.
Gacha Addiction	Alpha	alpha_nandeck_80,blackback	Black	B	A	_	_	0	APH122	A: Flip a coin 10 times. Deal damage equal to 10 divided by the amount of tails.
The Worst Card Game	Alpha	alpha_nandeck_81,blackback	Black	A	B	C	B	0	APH123	(RRGGBBYYAA) Win the game. A: (RR) Deal 2 damage, Berserk 5. B: (GG) Deal 2 damage. Poison opponent. C: (BB) Heal 2 HP for each Shield on opponent's card. B: (YY) Heal 2 HP. Opponent loses 2 mana of their most abundant colour.
Alchemy	Alpha	alpha_nandeck_82,blackback	Black	B	_	B	B	1	APH124	A: Gain 1 gay mana.
AI Porn	Alpha	alpha_nandeck_83,blackback	Black	A	_	_	B	2	APH125	A: (RGY) Deal damage equal to 1/2 of your current HP.
Game Suck Ever	Alpha	alpha_nandeck_84,blackback	Black					2	APH126	(RRGGBBYY) Both players lose the game?
Masonic Literature	Alpha	alpha_nandeck_85,blackback	Black					3	APH127	Set your HP to any number equal to or less than 5.
Counterspell from Magic the Gathering	Alpha	alpha_CounterspellfromMagictheGathering,MtGback	Token					T	APH065-T	(BB) Counter target spell.
Blue Eyes White Dragon from Yu-Gi-Oh!	Alpha	alpha_BlueEyesWhiteDragonfromYuGiOh,YGOback	Token					T	APH066-T	3000 ATK, 2500 DEF
